 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 3000.000000 N_points= 100
Asymmetry
1.000000E+01 -7.831191E-03
4.020202E+01 -3.337802E-01
7.040404E+01 -4.402378E-01
1.006061E+02 2.660411E-01
1.308081E+02 4.992586E-01
1.610101E+02 5.700937E-01
1.912121E+02 5.982449E-01
2.214141E+02 6.119584E-01
2.516162E+02 6.196848E-01
2.818182E+02 6.245396E-01
3.120202E+02 6.278640E-01
3.422222E+02 6.303055E-01
3.724242E+02 6.322059E-01
4.026263E+02 6.337573E-01
4.328283E+02 6.350736E-01
4.630303E+02 6.362241E-01
4.932323E+02 6.372512E-01
5.234343E+02 6.381804E-01
5.536364E+02 6.390255E-01
5.838384E+02 6.397913E-01
6.140404E+02 6.404760E-01
6.442424E+02 6.410710E-01
6.744444E+02 6.415620E-01
7.046465E+02 6.419278E-01
7.348485E+02 6.421402E-01
7.650505E+02 6.421624E-01
7.952525E+02 6.419472E-01
8.254545E+02 6.414351E-01
8.556566E+02 6.405505E-01
8.858586E+02 6.391980E-01
9.160606E+02 6.372569E-01
9.462626E+02 6.345740E-01
9.764646E+02 6.309543E-01
1.006667E+03 6.261485E-01
1.036869E+03 6.198364E-01
1.067071E+03 6.116057E-01
1.097273E+03 6.009235E-01
1.127475E+03 5.870992E-01
1.157677E+03 5.692380E-01
1.187879E+03 5.461830E-01
1.218081E+03 5.164499E-01
1.248283E+03 4.781623E-01
1.278485E+03 4.290139E-01
1.308687E+03 3.663110E-01
1.338889E+03 2.871980E-01
1.369091E+03 1.892329E-01
1.399293E+03 7.151175E-02
1.429495E+03 -6.358310E-02
1.459697E+03 -2.084390E-01
1.489899E+03 -3.493970E-01
1.520101E+03 -4.689109E-01
1.550303E+03 -5.511262E-01
1.580505E+03 -5.880344E-01
1.610707E+03 -5.818531E-01
1.640909E+03 -5.423122E-01
1.671111E+03 -4.816533E-01
1.701313E+03 -4.107219E-01
1.731515E+03 -3.373355E-01
1.761717E+03 -2.663158E-01
1.791919E+03 -2.002085E-01
1.822121E+03 -1.400699E-01
1.852323E+03 -8.608015E-02
1.882525E+03 -3.795463E-02
1.912727E+03 4.806012E-03
1.942929E+03 4.277338E-02
1.973131E+03 7.651578E-02
2.003333E+03 1.065617E-01
2.033535E+03 1.333852E-01
2.063737E+03 1.574026E-01
2.093939E+03 1.789751E-01
2.124141E+03 1.984142E-01
2.154343E+03 2.159874E-01
2.184545E+03 2.319243E-01
2.214747E+03 2.464221E-01
2.244949E+03 2.596502E-01
2.275152E+03 2.717544E-01
2.305354E+03 2.828608E-01
2.335556E+03 2.930784E-01
2.365758E+03 3.025021E-01
2.395960E+03 3.112143E-01
2.426162E+03 3.192870E-01
2.456364E+03 3.267835E-01
2.486566E+03 3.337593E-01
2.516768E+03 3.402632E-01
2.546970E+03 3.463386E-01
2.577172E+03 3.520238E-01
2.607374E+03 3.573529E-01
2.637576E+03 3.623563E-01
2.667778E+03 3.670612E-01
2.697980E+03 3.714919E-01
2.728182E+03 3.756702E-01
2.758384E+03 3.796160E-01
2.788586E+03 3.833469E-01
2.818788E+03 3.868789E-01
2.848990E+03 3.902267E-01
2.879192E+03 3.934034E-01
2.909394E+03 3.964210E-01
2.939596E+03 3.992906E-01
2.969798E+03 4.020220E-01
3.000000E+03 4.046246E-01
