 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Asymmetry
1.000000E+01 -7.815131E-03
1.141414E+01 -1.349174E-02
1.282828E+01 -1.994128E-02
1.424242E+01 -2.725469E-02
1.565657E+01 -3.546219E-02
1.707071E+01 -4.458238E-02
1.848485E+01 -5.463230E-02
1.989899E+01 -6.562966E-02
2.131313E+01 -7.759300E-02
2.272727E+01 -9.054116E-02
2.414141E+01 -1.044924E-01
2.555556E+01 -1.194635E-01
2.696970E+01 -1.354681E-01
2.838384E+01 -1.525157E-01
2.979798E+01 -1.706095E-01
3.121212E+01 -1.897448E-01
3.262626E+01 -2.099059E-01
3.404040E+01 -2.310642E-01
3.545455E+01 -2.531744E-01
3.686869E+01 -2.761712E-01
3.828283E+01 -2.999656E-01
3.969697E+01 -3.244404E-01
4.111111E+01 -3.494461E-01
4.252525E+01 -3.747965E-01
4.393939E+01 -4.002653E-01
4.535354E+01 -4.255824E-01
4.676768E+01 -4.504324E-01
4.818182E+01 -4.744545E-01
4.959596E+01 -4.972445E-01
5.101010E+01 -5.183611E-01
5.242424E+01 -5.373342E-01
5.383838E+01 -5.536781E-01
5.525253E+01 -5.669086E-01
5.666667E+01 -5.765628E-01
5.808081E+01 -5.822223E-01
5.949495E+01 -5.835361E-01
6.090909E+01 -5.802430E-01
6.232323E+01 -5.721905E-01
6.373737E+01 -5.593478E-01
6.515152E+01 -5.418117E-01
6.656566E+01 -5.198043E-01
6.797980E+01 -4.936628E-01
6.939394E+01 -4.638213E-01
7.080808E+01 -4.307883E-01
7.222222E+01 -3.951205E-01
7.363636E+01 -3.573962E-01
7.505051E+01 -3.181908E-01
7.646465E+01 -2.780549E-01
7.787879E+01 -2.374979E-01
7.929293E+01 -1.969757E-01
8.070707E+01 -1.568840E-01
8.212121E+01 -1.175551E-01
8.353535E+01 -7.925876E-02
8.494949E+01 -4.220579E-02
8.636364E+01 -6.552906E-03
8.777778E+01 2.759092E-02
8.919192E+01 6.015783E-02
9.060606E+01 9.111451E-02
9.202020E+01 1.204559E-01
9.343434E+01 1.481993E-01
9.484848E+01 1.743799E-01
9.626263E+01 1.990456E-01
9.767677E+01 2.222540E-01
9.909091E+01 2.440691E-01
1.005051E+02 2.645586E-01
1.019192E+02 2.837924E-01
1.033333E+02 3.018408E-01
1.047475E+02 3.187733E-01
1.061616E+02 3.346577E-01
1.075758E+02 3.495596E-01
1.089899E+02 3.635419E-01
1.104040E+02 3.766646E-01
1.118182E+02 3.889843E-01
1.132323E+02 4.005546E-01
1.146465E+02 4.114258E-01
1.160606E+02 4.216450E-01
1.174747E+02 4.312563E-01
1.188889E+02 4.403009E-01
1.203030E+02 4.488169E-01
1.217172E+02 4.568401E-01
1.231313E+02 4.644028E-01
1.245455E+02 4.715204E-01
1.259596E+02 4.782609E-01
1.273737E+02 4.846340E-01
1.287879E+02 4.906474E-01
1.302020E+02 4.963338E-01
1.316162E+02 5.017151E-01
1.330303E+02 5.068110E-01
1.344444E+02 5.116398E-01
1.358586E+02 5.162186E-01
1.372727E+02 5.205630E-01
1.386869E+02 5.246876E-01
1.401010E+02 5.286061E-01
1.415152E+02 5.323310E-01
1.429293E+02 5.358742E-01
1.443434E+02 5.392464E-01
1.457576E+02 5.424579E-01
1.471717E+02 5.455182E-01
1.485859E+02 5.484361E-01
1.500000E+02 5.512197E-01
