 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Asymmetry
1.000000E+01 -6.407008E-03
1.141414E+01 -8.378814E-03
1.282828E+01 -1.062859E-02
1.424242E+01 -1.316311E-02
1.565657E+01 -1.599005E-02
1.707071E+01 -1.911810E-02
1.848485E+01 -2.255698E-02
1.989899E+01 -2.631751E-02
2.131313E+01 -3.041170E-02
2.272727E+01 -3.485281E-02
2.414141E+01 -3.965548E-02
2.555556E+01 -4.483577E-02
2.696970E+01 -5.041133E-02
2.838384E+01 -5.640151E-02
2.979798E+01 -6.282746E-02
3.121212E+01 -6.971234E-02
3.262626E+01 -7.708143E-02
3.404040E+01 -8.496236E-02
3.545455E+01 -9.338525E-02
3.686869E+01 -1.023829E-01
3.828283E+01 -1.119912E-01
3.969697E+01 -1.222490E-01
4.111111E+01 -1.331988E-01
4.252525E+01 -1.448863E-01
4.393939E+01 -1.573616E-01
4.535354E+01 -1.706784E-01
4.676768E+01 -1.848949E-01
4.818182E+01 -2.000733E-01
4.959596E+01 -2.162801E-01
5.101010E+01 -2.335859E-01
5.242424E+01 -2.520645E-01
5.383838E+01 -2.717922E-01
5.525253E+01 -2.928466E-01
5.666667E+01 -3.153038E-01
5.808081E+01 -3.392351E-01
5.949495E+01 -3.647023E-01
6.090909E+01 -3.917499E-01
6.232323E+01 -4.203954E-01
6.373737E+01 -4.506144E-01
6.515152E+01 -4.823212E-01
6.656566E+01 -5.153410E-01
6.797980E+01 -5.493742E-01
6.939394E+01 -5.839482E-01
7.080808E+01 -6.183571E-01
7.222222E+01 -6.515882E-01
7.363636E+01 -6.822395E-01
7.505051E+01 -7.084381E-01
7.646465E+01 -7.277802E-01
7.787879E+01 -7.373302E-01
7.929293E+01 -7.337293E-01
8.070707E+01 -7.134743E-01
8.212121E+01 -6.734069E-01
8.353535E+01 -6.113940E-01
8.494949E+01 -5.270656E-01
8.636364E+01 -4.223668E-01
8.777778E+01 -3.016439E-01
8.919192E+01 -1.711139E-01
9.060606E+01 -3.782457E-02
9.202020E+01 9.154577E-02
9.343434E+01 2.116511E-01
9.484848E+01 3.189609E-01
9.626263E+01 4.117592E-01
9.767677E+01 4.898168E-01
9.909091E+01 5.539365E-01
1.005051E+02 6.055177E-01
1.019192E+02 6.462151E-01
1.033333E+02 6.777085E-01
1.047475E+02 7.015667E-01
1.061616E+02 7.191819E-01
1.075758E+02 7.317479E-01
1.089899E+02 7.402652E-01
1.104040E+02 7.455593E-01
1.118182E+02 7.483031E-01
1.132323E+02 7.490417E-01
1.146465E+02 7.482137E-01
1.160606E+02 7.461708E-01
1.174747E+02 7.431946E-01
1.188889E+02 7.395098E-01
1.203030E+02 7.352955E-01
1.217172E+02 7.306944E-01
1.231313E+02 7.258199E-01
1.245455E+02 7.207619E-01
1.259596E+02 7.155919E-01
1.273737E+02 7.103660E-01
1.287879E+02 7.051285E-01
1.302020E+02 6.999140E-01
1.316162E+02 6.947494E-01
1.330303E+02 6.896555E-01
1.344444E+02 6.846479E-01
1.358586E+02 6.797384E-01
1.372727E+02 6.749355E-01
1.386869E+02 6.702452E-01
1.401010E+02 6.656714E-01
1.415152E+02 6.612164E-01
1.429293E+02 6.568811E-01
1.443434E+02 6.526656E-01
1.457576E+02 6.485691E-01
1.471717E+02 6.445899E-01
1.485859E+02 6.407263E-01
1.500000E+02 6.369757E-01
