 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 3.443866E+00
-9.702970E-01 3.375867E+00
-9.504950E-01 3.309465E+00
-9.306931E-01 3.244659E+00
-9.108911E-01 3.181449E+00
-8.910891E-01 3.119836E+00
-8.712871E-01 3.059820E+00
-8.514851E-01 3.001399E+00
-8.316832E-01 2.944575E+00
-8.118812E-01 2.889348E+00
-7.920792E-01 2.835717E+00
-7.722772E-01 2.783682E+00
-7.524752E-01 2.733243E+00
-7.326733E-01 2.684401E+00
-7.128713E-01 2.637156E+00
-6.930693E-01 2.591507E+00
-6.732673E-01 2.547454E+00
-6.534653E-01 2.504997E+00
-6.336634E-01 2.464137E+00
-6.138614E-01 2.424874E+00
-5.940594E-01 2.387207E+00
-5.742574E-01 2.351136E+00
-5.544554E-01 2.316661E+00
-5.346535E-01 2.283783E+00
-5.148515E-01 2.252502E+00
-4.950495E-01 2.222816E+00
-4.752475E-01 2.194727E+00
-4.554455E-01 2.168235E+00
-4.356436E-01 2.143339E+00
-4.158416E-01 2.120039E+00
-3.960396E-01 2.098336E+00
-3.762376E-01 2.078229E+00
-3.564356E-01 2.059718E+00
-3.366337E-01 2.042804E+00
-3.168317E-01 2.027486E+00
-2.970297E-01 2.013765E+00
-2.772277E-01 2.001640E+00
-2.574257E-01 1.991112E+00
-2.376238E-01 1.982179E+00
-2.178218E-01 1.974844E+00
-1.980198E-01 1.969104E+00
-1.782178E-01 1.964961E+00
-1.584158E-01 1.962415E+00
-1.386139E-01 1.961464E+00
-1.188119E-01 1.962111E+00
-9.900990E-02 1.964353E+00
-7.920792E-02 1.968192E+00
-5.940594E-02 1.973628E+00
-3.960396E-02 1.980659E+00
-1.980198E-02 1.989287E+00
-8.673617E-18 1.999512E+00
1.980198E-02 2.011333E+00
3.960396E-02 2.024750E+00
5.940594E-02 2.039764E+00
7.920792E-02 2.056374E+00
9.900990E-02 2.074580E+00
1.188119E-01 2.094383E+00
1.386139E-01 2.115783E+00
1.584158E-01 2.138778E+00
1.782178E-01 2.163370E+00
1.980198E-01 2.189559E+00
2.178218E-01 2.217344E+00
2.376238E-01 2.246725E+00
2.574257E-01 2.277703E+00
2.772277E-01 2.310277E+00
2.970297E-01 2.344447E+00
3.168317E-01 2.380214E+00
3.366337E-01 2.417577E+00
3.564356E-01 2.456537E+00
3.762376E-01 2.497093E+00
3.960396E-01 2.539245E+00
4.158416E-01 2.582994E+00
4.356436E-01 2.628339E+00
4.554455E-01 2.675280E+00
4.752475E-01 2.723818E+00
4.950495E-01 2.773953E+00
5.148515E-01 2.825683E+00
5.346535E-01 2.879011E+00
5.544554E-01 2.933934E+00
5.742574E-01 2.990454E+00
5.940594E-01 3.048570E+00
6.138614E-01 3.108283E+00
6.336634E-01 3.169592E+00
6.534653E-01 3.232497E+00
6.732673E-01 3.296999E+00
6.930693E-01 3.363098E+00
7.128713E-01 3.430792E+00
7.326733E-01 3.500083E+00
7.524752E-01 3.570971E+00
7.722772E-01 3.643455E+00
7.920792E-01 3.717535E+00
8.118812E-01 3.793211E+00
8.316832E-01 3.870484E+00
8.514851E-01 3.949354E+00
8.712871E-01 4.029820E+00
8.910891E-01 4.111882E+00
9.108911E-01 4.195540E+00
9.306931E-01 4.280795E+00
9.504950E-01 4.367647E+00
9.702970E-01 4.456094E+00
9.900990E-01 4.546139E+00
