 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.739296E-04
-9.702970E-01 1.704913E-04
-9.504950E-01 1.671338E-04
-9.306931E-01 1.638569E-04
-9.108911E-01 1.606608E-04
-8.910891E-01 1.575453E-04
-8.712871E-01 1.545106E-04
-8.514851E-01 1.515565E-04
-8.316832E-01 1.486832E-04
-8.118812E-01 1.458905E-04
-7.920792E-01 1.431786E-04
-7.722772E-01 1.405473E-04
-7.524752E-01 1.379968E-04
-7.326733E-01 1.355269E-04
-7.128713E-01 1.331377E-04
-6.930693E-01 1.308293E-04
-6.732673E-01 1.286015E-04
-6.534653E-01 1.264545E-04
-6.336634E-01 1.243881E-04
-6.138614E-01 1.224024E-04
-5.940594E-01 1.204975E-04
-5.742574E-01 1.186732E-04
-5.544554E-01 1.169296E-04
-5.346535E-01 1.152667E-04
-5.148515E-01 1.136846E-04
-4.950495E-01 1.121831E-04
-4.752475E-01 1.107623E-04
-4.554455E-01 1.094222E-04
-4.356436E-01 1.081629E-04
-4.158416E-01 1.069842E-04
-3.960396E-01 1.058862E-04
-3.762376E-01 1.048689E-04
-3.564356E-01 1.039323E-04
-3.366337E-01 1.030764E-04
-3.168317E-01 1.023013E-04
-2.970297E-01 1.016068E-04
-2.772277E-01 1.009930E-04
-2.574257E-01 1.004599E-04
-2.376238E-01 1.000075E-04
-2.178218E-01 9.963580E-05
-1.980198E-01 9.934480E-05
-1.782178E-01 9.913450E-05
-1.584158E-01 9.900491E-05
-1.386139E-01 9.895601E-05
-1.188119E-01 9.898780E-05
-9.900990E-02 9.910030E-05
-7.920792E-02 9.929350E-05
-5.940594E-02 9.956739E-05
-3.960396E-02 9.992198E-05
-1.980198E-02 1.003573E-04
-8.673617E-18 1.008733E-04
1.980198E-02 1.014700E-04
3.960396E-02 1.021473E-04
5.940594E-02 1.029054E-04
7.920792E-02 1.037442E-04
9.900990E-02 1.046637E-04
1.188119E-01 1.056639E-04
1.386139E-01 1.067448E-04
1.584158E-01 1.079063E-04
1.782178E-01 1.091486E-04
1.980198E-01 1.104716E-04
2.178218E-01 1.118753E-04
2.376238E-01 1.133596E-04
2.574257E-01 1.149247E-04
2.772277E-01 1.165705E-04
2.970297E-01 1.182969E-04
3.168317E-01 1.201041E-04
3.366337E-01 1.219920E-04
3.564356E-01 1.239605E-04
3.762376E-01 1.260098E-04
3.960396E-01 1.281398E-04
4.158416E-01 1.303504E-04
4.356436E-01 1.326418E-04
4.554455E-01 1.350138E-04
4.752475E-01 1.374666E-04
4.950495E-01 1.400001E-04
5.148515E-01 1.426142E-04
5.346535E-01 1.453091E-04
5.544554E-01 1.480846E-04
5.742574E-01 1.509409E-04
5.940594E-01 1.538778E-04
6.138614E-01 1.568954E-04
6.336634E-01 1.599938E-04
6.534653E-01 1.631728E-04
6.732673E-01 1.664326E-04
6.930693E-01 1.697730E-04
7.128713E-01 1.731942E-04
7.326733E-01 1.766960E-04
7.524752E-01 1.802785E-04
7.722772E-01 1.839418E-04
7.920792E-01 1.876857E-04
8.118812E-01 1.915103E-04
8.316832E-01 1.954157E-04
8.514851E-01 1.994017E-04
8.712871E-01 2.034684E-04
8.910891E-01 2.076158E-04
9.108911E-01 2.118440E-04
9.306931E-01 2.161528E-04
9.504950E-01 2.205423E-04
9.702970E-01 2.250125E-04
9.900990E-01 2.295635E-04
