 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.355338E+00
-9.702970E-01 1.329405E+00
-9.504950E-01 1.305519E+00
-9.306931E-01 1.283680E+00
-9.108911E-01 1.263887E+00
-8.910891E-01 1.246140E+00
-8.712871E-01 1.230441E+00
-8.514851E-01 1.216788E+00
-8.316832E-01 1.205182E+00
-8.118812E-01 1.195622E+00
-7.920792E-01 1.188109E+00
-7.722772E-01 1.182643E+00
-7.524752E-01 1.179223E+00
-7.326733E-01 1.177850E+00
-7.128713E-01 1.178524E+00
-6.930693E-01 1.181244E+00
-6.732673E-01 1.186011E+00
-6.534653E-01 1.192824E+00
-6.336634E-01 1.201684E+00
-6.138614E-01 1.212591E+00
-5.940594E-01 1.225545E+00
-5.742574E-01 1.240545E+00
-5.544554E-01 1.257592E+00
-5.346535E-01 1.276685E+00
-5.148515E-01 1.297825E+00
-4.950495E-01 1.321012E+00
-4.752475E-01 1.346245E+00
-4.554455E-01 1.373525E+00
-4.356436E-01 1.402852E+00
-4.158416E-01 1.434225E+00
-3.960396E-01 1.467645E+00
-3.762376E-01 1.503112E+00
-3.564356E-01 1.540625E+00
-3.366337E-01 1.580185E+00
-3.168317E-01 1.621791E+00
-2.970297E-01 1.665444E+00
-2.772277E-01 1.711144E+00
-2.574257E-01 1.758891E+00
-2.376238E-01 1.808684E+00
-2.178218E-01 1.860523E+00
-1.980198E-01 1.914410E+00
-1.782178E-01 1.970343E+00
-1.584158E-01 2.028323E+00
-1.386139E-01 2.088349E+00
-1.188119E-01 2.150422E+00
-9.900990E-02 2.214542E+00
-7.920792E-02 2.280708E+00
-5.940594E-02 2.348921E+00
-3.960396E-02 2.419180E+00
-1.980198E-02 2.491486E+00
-8.673617E-18 2.565839E+00
1.980198E-02 2.642239E+00
3.960396E-02 2.720685E+00
5.940594E-02 2.801178E+00
7.920792E-02 2.883717E+00
9.900990E-02 2.968303E+00
1.188119E-01 3.054936E+00
1.386139E-01 3.143615E+00
1.584158E-01 3.234341E+00
1.782178E-01 3.327114E+00
1.980198E-01 3.421933E+00
2.178218E-01 3.518799E+00
2.376238E-01 3.617712E+00
2.574257E-01 3.718671E+00
2.772277E-01 3.821677E+00
2.970297E-01 3.926730E+00
3.168317E-01 4.033829E+00
3.366337E-01 4.142975E+00
3.564356E-01 4.254167E+00
3.762376E-01 4.367406E+00
3.960396E-01 4.482692E+00
4.158416E-01 4.600025E+00
4.356436E-01 4.719404E+00
4.554455E-01 4.840829E+00
4.752475E-01 4.964302E+00
4.950495E-01 5.089821E+00
5.148515E-01 5.217386E+00
5.346535E-01 5.346999E+00
5.544554E-01 5.478658E+00
5.742574E-01 5.612363E+00
5.940594E-01 5.748116E+00
6.138614E-01 5.885914E+00
6.336634E-01 6.025760E+00
6.534653E-01 6.167652E+00
6.732673E-01 6.311591E+00
6.930693E-01 6.457576E+00
7.128713E-01 6.605609E+00
7.326733E-01 6.755687E+00
7.524752E-01 6.907813E+00
7.722772E-01 7.061985E+00
7.920792E-01 7.218204E+00
8.118812E-01 7.376469E+00
8.316832E-01 7.536781E+00
8.514851E-01 7.699140E+00
8.712871E-01 7.863545E+00
8.910891E-01 8.029997E+00
9.108911E-01 8.198495E+00
9.306931E-01 8.369041E+00
9.504950E-01 8.541632E+00
9.702970E-01 8.716271E+00
9.900990E-01 8.892956E+00
