 m,M ->b,B
x-axis: "Sqrt(S)"  from 100.000000 to 200.000000 N_points= 100
Cross Section [pb]
1.000000E+02 1.719950E+02
1.010101E+02 1.404272E+02
1.020202E+02 1.171167E+02
1.030303E+02 9.939440E+01
1.040404E+02 8.559145E+01
1.050505E+02 7.462033E+01
1.060606E+02 6.574742E+01
1.070707E+02 5.846308E+01
1.080808E+02 5.240418E+01
1.090909E+02 4.730620E+01
1.101010E+02 4.297272E+01
1.111111E+02 3.925535E+01
1.121212E+02 3.604023E+01
1.131313E+02 3.323885E+01
1.141414E+02 3.078151E+01
1.151515E+02 2.861268E+01
1.161616E+02 2.668773E+01
1.171717E+02 2.497039E+01
1.181818E+02 2.343097E+01
1.191919E+02 2.204495E+01
1.202020E+02 2.079194E+01
1.212121E+02 1.965488E+01
1.222222E+02 1.861939E+01
1.232323E+02 1.767328E+01
1.242424E+02 1.680635E+01
1.252525E+02 1.606000E+01
1.262626E+02 1.527448E+01
1.272727E+02 1.459540E+01
1.282828E+02 1.396647E+01
1.292929E+02 1.338256E+01
1.303030E+02 1.283927E+01
1.313131E+02 1.233273E+01
1.323232E+02 1.185953E+01
1.333333E+02 1.141666E+01
1.343434E+02 1.100144E+01
1.353535E+02 1.061151E+01
1.363636E+02 1.024473E+01
1.373737E+02 9.899211E+00
1.383838E+02 9.573245E+00
1.393939E+02 9.265300E+00
1.404040E+02 8.973995E+00
1.414141E+02 8.698080E+00
1.424242E+02 8.436427E+00
1.434343E+02 8.188007E+00
1.444444E+02 7.951890E+00
1.454545E+02 7.727224E+00
1.464646E+02 7.513234E+00
1.474747E+02 7.309212E+00
1.484848E+02 7.114507E+00
1.494949E+02 6.928525E+00
1.505051E+02 6.750716E+00
1.515152E+02 6.580577E+00
1.525253E+02 6.417644E+00
1.535354E+02 6.261489E+00
1.545455E+02 6.111714E+00
1.555556E+02 5.967953E+00
1.565657E+02 5.829867E+00
1.575758E+02 5.697139E+00
1.585859E+02 5.569477E+00
1.595960E+02 5.446609E+00
1.606061E+02 5.328279E+00
1.616162E+02 5.214253E+00
1.626263E+02 5.104309E+00
1.636364E+02 4.998240E+00
1.646465E+02 4.895853E+00
1.656566E+02 4.796969E+00
1.666667E+02 4.701417E+00
1.676768E+02 4.609039E+00
1.686869E+02 4.519686E+00
1.696970E+02 4.433217E+00
1.707071E+02 4.349502E+00
1.717172E+02 4.268415E+00
1.727273E+02 4.189840E+00
1.737374E+02 4.113667E+00
1.747475E+02 4.039792E+00
1.757576E+02 3.968117E+00
1.767677E+02 3.898549E+00
1.777778E+02 3.831000E+00
1.787879E+02 3.765388E+00
1.797980E+02 3.701633E+00
1.808081E+02 3.639662E+00
1.818182E+02 3.579403E+00
1.828283E+02 3.520790E+00
1.838384E+02 3.463759E+00
1.848485E+02 3.408249E+00
1.858586E+02 3.354204E+00
1.868687E+02 3.301568E+00
1.878788E+02 3.250289E+00
1.888889E+02 3.200318E+00
1.898990E+02 3.151608E+00
1.909091E+02 3.104113E+00
1.919192E+02 3.057791E+00
1.929293E+02 3.012601E+00
1.939394E+02 2.968504E+00
1.949495E+02 2.925461E+00
1.959596E+02 2.883439E+00
1.969697E+02 2.842401E+00
1.979798E+02 2.802317E+00
1.989899E+02 2.763154E+00
2.000000E+02 2.724882E+00
