 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 120.000000 N_points= 100
Cross Section [pb]
1.000000E+01 2.143323E+02
1.111111E+01 1.980894E+02
1.222222E+01 1.743103E+02
1.333333E+01 1.516417E+02
1.444444E+01 1.319445E+02
1.555556E+01 1.153060E+02
1.666667E+01 1.013539E+02
1.777778E+01 8.964404E+01
1.888889E+01 7.977315E+01
2.000000E+01 7.140420E+01
2.111111E+01 6.426420E+01
2.222222E+01 5.813457E+01
2.333333E+01 5.284062E+01
2.444444E+01 4.824245E+01
2.555556E+01 4.422751E+01
2.666667E+01 4.070476E+01
2.777778E+01 3.760008E+01
2.888889E+01 3.485280E+01
3.000000E+01 3.241293E+01
3.111111E+01 3.023907E+01
3.222222E+01 2.829673E+01
3.333333E+01 2.655704E+01
3.444444E+01 2.499574E+01
3.555556E+01 2.359235E+01
3.666667E+01 2.232953E+01
3.777778E+01 2.119257E+01
3.888889E+01 2.016896E+01
4.000000E+01 1.924807E+01
4.111111E+01 1.842087E+01
4.222222E+01 1.767970E+01
4.333333E+01 1.701812E+01
4.444444E+01 1.643074E+01
4.555556E+01 1.591315E+01
4.666667E+01 1.546177E+01
4.777778E+01 1.507385E+01
4.888889E+01 1.474739E+01
5.000000E+01 1.448111E+01
5.111111E+01 1.427448E+01
5.222222E+01 1.412769E+01
5.333333E+01 1.404170E+01
5.444444E+01 1.401831E+01
5.555556E+01 1.406020E+01
5.666667E+01 1.417107E+01
5.777778E+01 1.435576E+01
5.888889E+01 1.462047E+01
6.000000E+01 1.497295E+01
6.111111E+01 1.542286E+01
6.222222E+01 1.598218E+01
6.333333E+01 1.666571E+01
6.444444E+01 1.749177E+01
6.555556E+01 1.848314E+01
6.666667E+01 1.966827E+01
6.777778E+01 2.108292E+01
6.888889E+01 2.277241E+01
7.000000E+01 2.479469E+01
7.111111E+01 2.722472E+01
7.222222E+01 3.016061E+01
7.333333E+01 3.373267E+01
7.444444E+01 3.811665E+01
7.555556E+01 4.355406E+01
7.666667E+01 5.038364E+01
7.777778E+01 5.909208E+01
7.888889E+01 7.039831E+01
8.000000E+01 8.539940E+01
8.111111E+01 1.058356E+02
8.222222E+01 1.345998E+02
8.333333E+01 1.767858E+02
8.444444E+01 2.420427E+02
8.555556E+01 3.504796E+02
8.666667E+01 5.498613E+02
8.777778E+01 9.776206E+02
8.888889E+01 2.174902E+03
9.000000E+01 8.190156E+03
9.111111E+01 5.526286E+05
9.222222E+01 1.106174E+04
9.333333E+01 2.638279E+03
9.444444E+01 1.164515E+03
9.555556E+01 6.576821E+02
9.666667E+01 4.245467E+02
9.777778E+01 2.980684E+02
9.888889E+01 2.217037E+02
1.000000E+02 1.719950E+02
1.011111E+02 1.377793E+02
1.022222E+02 1.131895E+02
1.033333E+02 9.490016E+01
1.044444E+02 8.091048E+01
1.055556E+02 6.995761E+01
1.066667E+02 6.121205E+01
1.077778E+02 5.411045E+01
1.088889E+02 4.825914E+01
1.100000E+02 4.337620E+01
1.111111E+02 3.925535E+01
1.122222E+02 3.574276E+01
1.133333E+02 3.272182E+01
1.144444E+02 3.010278E+01
1.155556E+02 2.781563E+01
1.166667E+02 2.580510E+01
1.177778E+02 2.402706E+01
1.188889E+02 2.244593E+01
1.200000E+02 2.103277E+01
