 m,M ->b,B
x-axis: "Sqrt(S)"  from 92.000000 to 200.000000 N_points= 100
Cross Section [pb]
9.200000E+01 1.773236E+04
9.309091E+01 3.339419E+03
9.418182E+01 1.372532E+03
9.527273E+01 7.489174E+02
9.636364E+01 4.736958E+02
9.745455E+01 3.281155E+02
9.854545E+01 2.417113E+02
9.963636E+01 1.861615E+02
1.007273E+02 1.482842E+02
1.018182E+02 1.212643E+02
1.029091E+02 1.012878E+02
1.040000E+02 8.608334E+01
1.050909E+02 7.422912E+01
1.061818E+02 6.479771E+01
1.072727E+02 5.716292E+01
1.083636E+02 5.088939E+01
1.094545E+02 4.566670E+01
1.105455E+02 4.126858E+01
1.116364E+02 3.752691E+01
1.127273E+02 3.431458E+01
1.138182E+02 3.153405E+01
1.149091E+02 2.910943E+01
1.160000E+02 2.698091E+01
1.170909E+02 2.510087E+01
1.181818E+02 2.343097E+01
1.192727E+02 2.194006E+01
1.203636E+02 2.060263E+01
1.214545E+02 1.939760E+01
1.225455E+02 1.830744E+01
1.236364E+02 1.731751E+01
1.247273E+02 1.641650E+01
1.258182E+02 1.559094E+01
1.269091E+02 1.483379E+01
1.280000E+02 1.413782E+01
1.290909E+02 1.349596E+01
1.301818E+02 1.290246E+01
1.312727E+02 1.235233E+01
1.323636E+02 1.184125E+01
1.334545E+02 1.136542E+01
1.345455E+02 1.092150E+01
1.356364E+02 1.050656E+01
1.367273E+02 1.011799E+01
1.378182E+02 9.753471E+00
1.389091E+02 9.410955E+00
1.400000E+02 9.088603E+00
1.410909E+02 8.784770E+00
1.421818E+02 8.497979E+00
1.432727E+02 8.226904E+00
1.443636E+02 7.970347E+00
1.454545E+02 7.727224E+00
1.465455E+02 7.496555E+00
1.476364E+02 7.277449E+00
1.487273E+02 7.069098E+00
1.498182E+02 6.870761E+00
1.509091E+02 6.681767E+00
1.520000E+02 6.501497E+00
1.530909E+02 6.329388E+00
1.541818E+02 6.164922E+00
1.552727E+02 6.007620E+00
1.563636E+02 5.857046E+00
1.574545E+02 5.712793E+00
1.585455E+02 5.574490E+00
1.596364E+02 5.441790E+00
1.607273E+02 5.314374E+00
1.618182E+02 5.191944E+00
1.629091E+02 5.074227E+00
1.640000E+02 4.960966E+00
1.650909E+02 4.851923E+00
1.661818E+02 4.746876E+00
1.672727E+02 4.645619E+00
1.683636E+02 4.547959E+00
1.694545E+02 4.453714E+00
1.705455E+02 4.362716E+00
1.716364E+02 4.274808E+00
1.727273E+02 4.189840E+00
1.738182E+02 4.107674E+00
1.749091E+02 4.028179E+00
1.760000E+02 3.951232E+00
1.770909E+02 3.876718E+00
1.781818E+02 3.804527E+00
1.792727E+02 3.734558E+00
1.803636E+02 3.666714E+00
1.814545E+02 3.600903E+00
1.825455E+02 3.537039E+00
1.836364E+02 3.475041E+00
1.847273E+02 3.414832E+00
1.858182E+02 3.356338E+00
1.869091E+02 3.299491E+00
1.880000E+02 3.244224E+00
1.890909E+02 3.190477E+00
1.901818E+02 3.138189E+00
1.912727E+02 3.087304E+00
1.923636E+02 3.037771E+00
1.934545E+02 2.989536E+00
1.945455E+02 2.942554E+00
1.956364E+02 2.896777E+00
1.967273E+02 2.852162E+00
1.978182E+02 2.808667E+00
1.989091E+02 2.766253E+00
2.000000E+02 2.724882E+00
