 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Asymmetry
1.000000E+01 -7.821073E-03
1.141414E+01 -1.350208E-02
1.282828E+01 -1.995669E-02
1.424242E+01 -2.727596E-02
1.565657E+01 -3.549015E-02
1.707071E+01 -4.461795E-02
1.848485E+01 -5.467644E-02
1.989899E+01 -6.568340E-02
2.131313E+01 -7.765745E-02
2.272727E+01 -9.061753E-02
2.414141E+01 -1.045820E-01
2.555556E+01 -1.195676E-01
2.696970E+01 -1.355883E-01
2.838384E+01 -1.526535E-01
2.979798E+01 -1.707667E-01
3.121212E+01 -1.899229E-01
3.262626E+01 -2.101070E-01
3.404040E+01 -2.312902E-01
3.545455E+01 -2.534272E-01
3.686869E+01 -2.764529E-01
3.828283E+01 -3.002780E-01
3.969697E+01 -3.247855E-01
4.111111E+01 -3.498255E-01
4.252525E+01 -3.752118E-01
4.393939E+01 -4.007176E-01
4.535354E+01 -4.260723E-01
4.676768E+01 -4.509601E-01
4.818182E+01 -4.750193E-01
4.959596E+01 -4.978451E-01
5.101010E+01 -5.189950E-01
5.242424E+01 -5.379980E-01
5.383838E+01 -5.543672E-01
5.525253E+01 -5.676174E-01
5.666667E+01 -5.772847E-01
5.808081E+01 -5.829498E-01
5.949495E+01 -5.842610E-01
6.090909E+01 -5.809569E-01
6.232323E+01 -5.728849E-01
6.373737E+01 -5.600146E-01
6.515152E+01 -5.424434E-01
6.656566E+01 -5.203947E-01
6.797980E+01 -4.942067E-01
6.939394E+01 -4.643150E-01
7.080808E+01 -4.312296E-01
7.222222E+01 -3.955087E-01
7.363636E+01 -3.577318E-01
7.505051E+01 -3.184755E-01
7.646465E+01 -2.782913E-01
7.787879E+01 -2.376892E-01
7.929293E+01 -1.971258E-01
8.070707E+01 -1.569968E-01
8.212121E+01 -1.176347E-01
8.353535E+01 -7.930931E-02
8.494949E+01 -4.223110E-02
8.636364E+01 -6.556596E-03
8.777778E+01 2.760550E-02
8.919192E+01 6.018766E-02
9.060606E+01 9.115687E-02
9.202020E+01 1.205084E-01
9.343434E+01 1.482599E-01
9.484848E+01 1.744468E-01
9.626263E+01 1.991172E-01
9.767677E+01 2.223290E-01
9.909091E+01 2.441464E-01
1.005051E+02 2.646372E-01
1.019192E+02 2.838717E-01
1.033333E+02 3.019200E-01
1.047475E+02 3.188520E-01
1.061616E+02 3.347354E-01
1.075758E+02 3.496360E-01
1.089899E+02 3.636168E-01
1.104040E+02 3.767377E-01
1.118182E+02 3.890555E-01
1.132323E+02 4.006238E-01
1.146465E+02 4.114929E-01
1.160606E+02 4.217100E-01
1.174747E+02 4.313192E-01
1.188889E+02 4.403617E-01
1.203030E+02 4.488757E-01
1.217172E+02 4.568968E-01
1.231313E+02 4.644574E-01
1.245455E+02 4.715730E-01
1.259596E+02 4.783116E-01
1.273737E+02 4.846828E-01
1.287879E+02 4.906943E-01
1.302020E+02 4.963790E-01
1.316162E+02 5.017586E-01
1.330303E+02 5.068528E-01
1.344444E+02 5.116801E-01
1.358586E+02 5.162573E-01
1.372727E+02 5.206002E-01
1.386869E+02 5.247235E-01
1.401010E+02 5.286406E-01
1.415152E+02 5.323642E-01
1.429293E+02 5.359061E-01
1.443434E+02 5.392772E-01
1.457576E+02 5.424875E-01
1.471717E+02 5.455467E-01
1.485859E+02 5.484635E-01
1.500000E+02 5.512462E-01
