 m,M ->c,C
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Asymmetry
1.000000E+01 -9.006789E-03
1.141414E+01 -1.196090E-02
1.282828E+01 -1.533272E-02
1.424242E+01 -1.913188E-02
1.565657E+01 -2.336944E-02
1.707071E+01 -2.805795E-02
1.848485E+01 -3.321141E-02
1.989899E+01 -3.884533E-02
2.131313E+01 -4.497679E-02
2.272727E+01 -5.162450E-02
2.414141E+01 -5.880882E-02
2.555556E+01 -6.655189E-02
2.696970E+01 -7.487763E-02
2.838384E+01 -8.381181E-02
2.979798E+01 -9.338211E-02
3.121212E+01 -1.036181E-01
3.262626E+01 -1.145513E-01
3.404040E+01 -1.262149E-01
3.545455E+01 -1.386443E-01
3.686869E+01 -1.518760E-01
3.828283E+01 -1.659481E-01
3.969697E+01 -1.808999E-01
4.111111E+01 -1.967707E-01
4.252525E+01 -2.135998E-01
4.393939E+01 -2.314254E-01
4.535354E+01 -2.502827E-01
4.676768E+01 -2.702030E-01
4.818182E+01 -2.912106E-01
4.959596E+01 -3.133204E-01
5.101010E+01 -3.365338E-01
5.242424E+01 -3.608338E-01
5.383838E+01 -3.861790E-01
5.525253E+01 -4.124959E-01
5.666667E+01 -4.396695E-01
5.808081E+01 -4.675321E-01
5.949495E+01 -4.958498E-01
6.090909E+01 -5.243074E-01
6.232323E+01 -5.524916E-01
6.373737E+01 -5.798733E-01
6.515152E+01 -6.057914E-01
6.656566E+01 -6.294400E-01
6.797980E+01 -6.498627E-01
6.939394E+01 -6.659595E-01
7.080808E+01 -6.765118E-01
7.222222E+01 -6.802307E-01
7.363636E+01 -6.758340E-01
7.505051E+01 -6.621506E-01
7.646465E+01 -6.382471E-01
7.787879E+01 -6.035614E-01
7.929293E+01 -5.580219E-01
8.070707E+01 -5.021256E-01
8.212121E+01 -4.369530E-01
8.353535E+01 -3.641064E-01
8.494949E+01 -2.855794E-01
8.636364E+01 -2.035761E-01
8.777778E+01 -1.203159E-01
8.919192E+01 -3.785621E-02
9.060606E+01 4.204075E-02
9.202020E+01 1.179855E-01
9.343434E+01 1.889841E-01
9.484848E+01 2.544169E-01
9.626263E+01 3.139892E-01
9.767677E+01 3.676681E-01
9.909091E+01 4.156160E-01
1.005051E+02 4.581308E-01
1.019192E+02 4.955948E-01
1.033333E+02 5.284344E-01
1.047475E+02 5.570904E-01
1.061616E+02 5.819971E-01
1.075758E+02 6.035681E-01
1.089899E+02 6.221887E-01
1.104040E+02 6.382115E-01
1.118182E+02 6.519548E-01
1.132323E+02 6.637033E-01
1.146465E+02 6.737096E-01
1.160606E+02 6.821969E-01
1.174747E+02 6.893612E-01
1.188889E+02 6.953742E-01
1.203030E+02 7.003860E-01
1.217172E+02 7.045275E-01
1.231313E+02 7.079127E-01
1.245455E+02 7.106393E-01
1.259596E+02 7.127984E-01
1.273737E+02 7.144635E-01
1.287879E+02 7.156979E-01
1.302020E+02 7.165600E-01
1.316162E+02 7.170997E-01
1.330303E+02 7.173603E-01
1.344444E+02 7.173796E-01
1.358586E+02 7.171905E-01
1.372727E+02 7.168220E-01
1.386869E+02 7.162990E-01
1.401010E+02 7.156437E-01
1.415152E+02 7.148752E-01
1.429293E+02 7.140103E-01
1.443434E+02 7.130638E-01
1.457576E+02 7.120484E-01
1.471717E+02 7.109756E-01
1.485859E+02 7.098551E-01
1.500000E+02 7.086955E-01
