 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Asymmetry
1.000000E+01 -6.411874E-03
1.141414E+01 -8.385224E-03
1.282828E+01 -1.063679E-02
1.424242E+01 -1.317336E-02
1.565657E+01 -1.600263E-02
1.707071E+01 -1.913332E-02
1.848485E+01 -2.257516E-02
1.989899E+01 -2.633901E-02
2.131313E+01 -3.043692E-02
2.272727E+01 -3.488218E-02
2.414141E+01 -3.968946E-02
2.555556E+01 -4.487489E-02
2.696970E+01 -5.045617E-02
2.838384E+01 -5.645271E-02
2.979798E+01 -6.288575E-02
3.121212E+01 -6.977853E-02
3.262626E+01 -7.715642E-02
3.404040E+01 -8.504716E-02
3.545455E+01 -9.348101E-02
3.686869E+01 -1.024910E-01
3.828283E+01 -1.121130E-01
3.969697E+01 -1.223862E-01
4.111111E+01 -1.333532E-01
4.252525E+01 -1.450602E-01
4.393939E+01 -1.575575E-01
4.535354E+01 -1.708991E-01
4.676768E+01 -1.851436E-01
4.818182E+01 -2.003539E-01
4.959596E+01 -2.165970E-01
5.101010E+01 -2.339440E-01
5.242424E+01 -2.524698E-01
5.383838E+01 -2.722515E-01
5.525253E+01 -2.933679E-01
5.666667E+01 -3.158963E-01
5.808081E+01 -3.399096E-01
5.949495E+01 -3.654713E-01
6.090909E+01 -3.926282E-01
6.232323E+01 -4.213999E-01
6.373737E+01 -4.517647E-01
6.515152E+01 -4.836395E-01
6.656566E+01 -5.168528E-01
6.797980E+01 -5.511075E-01
6.939394E+01 -5.859333E-01
7.080808E+01 -6.206252E-01
7.222222E+01 -6.541694E-01
7.363636E+01 -6.851589E-01
7.505051E+01 -7.117099E-01
7.646465E+01 -7.314004E-01
7.787879E+01 -7.412662E-01
7.929293E+01 -7.379094E-01
8.070707E+01 -7.177787E-01
8.212121E+01 -6.776658E-01
8.353535E+01 -6.153966E-01
8.494949E+01 -5.305849E-01
8.636364E+01 -4.251958E-01
8.777778E+01 -3.036354E-01
8.919192E+01 -1.722079E-01
9.060606E+01 -3.805485E-02
9.202020E+01 9.206846E-02
9.343434E+01 2.127697E-01
9.484848E+01 3.205050E-01
9.626263E+01 4.135699E-01
9.767677E+01 4.917618E-01
9.909091E+01 5.559149E-01
1.005051E+02 6.074582E-01
1.019192E+02 6.480713E-01
1.033333E+02 6.794533E-01
1.047475E+02 7.031868E-01
1.061616E+02 7.206734E-01
1.075758E+02 7.331132E-01
1.089899E+02 7.415103E-01
1.104040E+02 7.466921E-01
1.118182E+02 7.493327E-01
1.132323E+02 7.499770E-01
1.146465E+02 7.490636E-01
1.160606E+02 7.469437E-01
1.174747E+02 7.438981E-01
1.188889E+02 7.401510E-01
1.203030E+02 7.358807E-01
1.217172E+02 7.312293E-01
1.231313E+02 7.263096E-01
1.245455E+02 7.212111E-01
1.259596E+02 7.160045E-01
1.273737E+02 7.107456E-01
1.287879E+02 7.054784E-01
1.302020E+02 7.002370E-01
1.316162E+02 6.950482E-01
1.330303E+02 6.899322E-01
1.344444E+02 6.849046E-01
1.358586E+02 6.799768E-01
1.372727E+02 6.751573E-01
1.386869E+02 6.704519E-01
1.401010E+02 6.658642E-01
1.415152E+02 6.613965E-01
1.429293E+02 6.570497E-01
1.443434E+02 6.528235E-01
1.457576E+02 6.487171E-01
1.471717E+02 6.447289E-01
1.485859E+02 6.408569E-01
1.500000E+02 6.370987E-01
