 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 9.655588E-05
-9.702970E-01 9.464407E-05
-9.504950E-01 9.277089E-05
-9.306931E-01 9.093633E-05
-9.108911E-01 8.914039E-05
-8.910891E-01 8.738307E-05
-8.712871E-01 8.566438E-05
-8.514851E-01 8.398431E-05
-8.316832E-01 8.234286E-05
-8.118812E-01 8.074003E-05
-7.920792E-01 7.917582E-05
-7.722772E-01 7.765024E-05
-7.524752E-01 7.616328E-05
-7.326733E-01 7.471494E-05
-7.128713E-01 7.330523E-05
-6.930693E-01 7.193414E-05
-6.732673E-01 7.060166E-05
-6.534653E-01 6.930782E-05
-6.336634E-01 6.805259E-05
-6.138614E-01 6.683599E-05
-5.940594E-01 6.565801E-05
-5.742574E-01 6.451865E-05
-5.544554E-01 6.341791E-05
-5.346535E-01 6.235580E-05
-5.148515E-01 6.133230E-05
-4.950495E-01 6.034743E-05
-4.752475E-01 5.940119E-05
-4.554455E-01 5.849356E-05
-4.356436E-01 5.762456E-05
-4.158416E-01 5.679418E-05
-3.960396E-01 5.600242E-05
-3.762376E-01 5.524929E-05
-3.564356E-01 5.453477E-05
-3.366337E-01 5.385888E-05
-3.168317E-01 5.322161E-05
-2.970297E-01 5.262297E-05
-2.772277E-01 5.206294E-05
-2.574257E-01 5.154154E-05
-2.376238E-01 5.105876E-05
-2.178218E-01 5.061460E-05
-1.980198E-01 5.020907E-05
-1.782178E-01 4.984216E-05
-1.584158E-01 4.951387E-05
-1.386139E-01 4.922420E-05
-1.188119E-01 4.897316E-05
-9.900990E-02 4.876073E-05
-7.920792E-02 4.858693E-05
-5.940594E-02 4.845175E-05
-3.960396E-02 4.835520E-05
-1.980198E-02 4.829726E-05
-8.673617E-18 4.827795E-05
1.980198E-02 4.829726E-05
3.960396E-02 4.835520E-05
5.940594E-02 4.845175E-05
7.920792E-02 4.858693E-05
9.900990E-02 4.876073E-05
1.188119E-01 4.897316E-05
1.386139E-01 4.922420E-05
1.584158E-01 4.951387E-05
1.782178E-01 4.984216E-05
1.980198E-01 5.020907E-05
2.178218E-01 5.061460E-05
2.376238E-01 5.105876E-05
2.574257E-01 5.154154E-05
2.772277E-01 5.206294E-05
2.970297E-01 5.262297E-05
3.168317E-01 5.322161E-05
3.366337E-01 5.385888E-05
3.564356E-01 5.453477E-05
3.762376E-01 5.524929E-05
3.960396E-01 5.600242E-05
4.158416E-01 5.679418E-05
4.356436E-01 5.762456E-05
4.554455E-01 5.849356E-05
4.752475E-01 5.940119E-05
4.950495E-01 6.034743E-05
5.148515E-01 6.133230E-05
5.346535E-01 6.235580E-05
5.544554E-01 6.341791E-05
5.742574E-01 6.451865E-05
5.940594E-01 6.565801E-05
6.138614E-01 6.683599E-05
6.336634E-01 6.805259E-05
6.534653E-01 6.930782E-05
6.732673E-01 7.060166E-05
6.930693E-01 7.193414E-05
7.128713E-01 7.330523E-05
7.326733E-01 7.471494E-05
7.524752E-01 7.616328E-05
7.722772E-01 7.765024E-05
7.920792E-01 7.917582E-05
8.118812E-01 8.074003E-05
8.316832E-01 8.234286E-05
8.514851E-01 8.398431E-05
8.712871E-01 8.566438E-05
8.910891E-01 8.738307E-05
9.108911E-01 8.914039E-05
9.306931E-01 9.093633E-05
9.504950E-01 9.277089E-05
9.702970E-01 9.464407E-05
9.900990E-01 9.655588E-05
