 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.374360E-04
-9.702970E-01 1.347191E-04
-9.504950E-01 1.320661E-04
-9.306931E-01 1.294768E-04
-9.108911E-01 1.269512E-04
-8.910891E-01 1.244895E-04
-8.712871E-01 1.220915E-04
-8.514851E-01 1.197572E-04
-8.316832E-01 1.174868E-04
-8.118812E-01 1.152801E-04
-7.920792E-01 1.131371E-04
-7.722772E-01 1.110579E-04
-7.524752E-01 1.090425E-04
-7.326733E-01 1.070909E-04
-7.128713E-01 1.052030E-04
-6.930693E-01 1.033789E-04
-6.732673E-01 1.016186E-04
-6.534653E-01 9.992202E-05
-6.336634E-01 9.828922E-05
-6.138614E-01 9.672018E-05
-5.940594E-01 9.521491E-05
-5.742574E-01 9.377340E-05
-5.544554E-01 9.239567E-05
-5.346535E-01 9.108169E-05
-5.148515E-01 8.983149E-05
-4.950495E-01 8.864505E-05
-4.752475E-01 8.752238E-05
-4.554455E-01 8.646347E-05
-4.356436E-01 8.546834E-05
-4.158416E-01 8.453696E-05
-3.960396E-01 8.366936E-05
-3.762376E-01 8.286552E-05
-3.564356E-01 8.212545E-05
-3.366337E-01 8.144914E-05
-3.168317E-01 8.083660E-05
-2.970297E-01 8.028783E-05
-2.772277E-01 7.980282E-05
-2.574257E-01 7.938158E-05
-2.376238E-01 7.902411E-05
-2.178218E-01 7.873040E-05
-1.980198E-01 7.850046E-05
-1.782178E-01 7.833429E-05
-1.584158E-01 7.823188E-05
-1.386139E-01 7.819324E-05
-1.188119E-01 7.821837E-05
-9.900990E-02 7.830726E-05
-7.920792E-02 7.845992E-05
-5.940594E-02 7.867635E-05
-3.960396E-02 7.895654E-05
-1.980198E-02 7.930050E-05
-8.673617E-18 7.970823E-05
1.980198E-02 8.017972E-05
3.960396E-02 8.071498E-05
5.940594E-02 8.131400E-05
7.920792E-02 8.197679E-05
9.900990E-02 8.270335E-05
1.188119E-01 8.349368E-05
1.386139E-01 8.434777E-05
1.584158E-01 8.526563E-05
1.782178E-01 8.624725E-05
1.980198E-01 8.729264E-05
2.178218E-01 8.840180E-05
2.376238E-01 8.957473E-05
2.574257E-01 9.081142E-05
2.772277E-01 9.211188E-05
2.970297E-01 9.347610E-05
3.168317E-01 9.490409E-05
3.366337E-01 9.639585E-05
3.564356E-01 9.795137E-05
3.762376E-01 9.957066E-05
3.960396E-01 1.012537E-04
4.158416E-01 1.030005E-04
4.356436E-01 1.048111E-04
4.554455E-01 1.066855E-04
4.752475E-01 1.086236E-04
4.950495E-01 1.106255E-04
5.148515E-01 1.126912E-04
5.346535E-01 1.148206E-04
5.544554E-01 1.170138E-04
5.742574E-01 1.192707E-04
5.940594E-01 1.215915E-04
6.138614E-01 1.239759E-04
6.336634E-01 1.264242E-04
6.534653E-01 1.289362E-04
6.732673E-01 1.315120E-04
6.930693E-01 1.341516E-04
7.128713E-01 1.368549E-04
7.326733E-01 1.396220E-04
7.524752E-01 1.424528E-04
7.722772E-01 1.453475E-04
7.920792E-01 1.483058E-04
8.118812E-01 1.513280E-04
8.316832E-01 1.544139E-04
8.514851E-01 1.575636E-04
8.712871E-01 1.607771E-04
8.910891E-01 1.640543E-04
9.108911E-01 1.673953E-04
9.306931E-01 1.708000E-04
9.504950E-01 1.742685E-04
9.702970E-01 1.778008E-04
9.900990E-01 1.813969E-04
