 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.113138E-02
-9.702970E-01 1.091134E-02
-9.504950E-01 1.069646E-02
-9.306931E-01 1.048674E-02
-9.108911E-01 1.028219E-02
-8.910891E-01 1.008280E-02
-8.712871E-01 9.888582E-03
-8.514851E-01 9.699525E-03
-8.316832E-01 9.515633E-03
-8.118812E-01 9.336906E-03
-7.920792E-01 9.163343E-03
-7.722772E-01 8.994945E-03
-7.524752E-01 8.831711E-03
-7.326733E-01 8.673643E-03
-7.128713E-01 8.520738E-03
-6.930693E-01 8.372999E-03
-6.732673E-01 8.230424E-03
-6.534653E-01 8.093014E-03
-6.336634E-01 7.960768E-03
-6.138614E-01 7.833687E-03
-5.940594E-01 7.711771E-03
-5.742574E-01 7.595019E-03
-5.544554E-01 7.483432E-03
-5.346535E-01 7.377009E-03
-5.148515E-01 7.275752E-03
-4.950495E-01 7.179659E-03
-4.752475E-01 7.088730E-03
-4.554455E-01 7.002966E-03
-4.356436E-01 6.922367E-03
-4.158416E-01 6.846933E-03
-3.960396E-01 6.776663E-03
-3.762376E-01 6.711558E-03
-3.564356E-01 6.651617E-03
-3.366337E-01 6.596841E-03
-3.168317E-01 6.547230E-03
-2.970297E-01 6.502783E-03
-2.772277E-01 6.463501E-03
-2.574257E-01 6.429384E-03
-2.376238E-01 6.400431E-03
-2.178218E-01 6.376643E-03
-1.980198E-01 6.358020E-03
-1.782178E-01 6.344561E-03
-1.584158E-01 6.336267E-03
-1.386139E-01 6.333137E-03
-1.188119E-01 6.335173E-03
-9.900990E-02 6.342372E-03
-7.920792E-02 6.354737E-03
-5.940594E-02 6.372266E-03
-3.960396E-02 6.394960E-03
-1.980198E-02 6.422818E-03
-8.673617E-18 6.455841E-03
1.980198E-02 6.494029E-03
3.960396E-02 6.537381E-03
5.940594E-02 6.585898E-03
7.920792E-02 6.639580E-03
9.900990E-02 6.698426E-03
1.188119E-01 6.762437E-03
1.386139E-01 6.831613E-03
1.584158E-01 6.905953E-03
1.782178E-01 6.985458E-03
1.980198E-01 7.070128E-03
2.178218E-01 7.159962E-03
2.376238E-01 7.254961E-03
2.574257E-01 7.355124E-03
2.772277E-01 7.460452E-03
2.970297E-01 7.570945E-03
3.168317E-01 7.686603E-03
3.366337E-01 7.807425E-03
3.564356E-01 7.933411E-03
3.762376E-01 8.064563E-03
3.960396E-01 8.200879E-03
4.158416E-01 8.342359E-03
4.356436E-01 8.489005E-03
4.554455E-01 8.640815E-03
4.752475E-01 8.797789E-03
4.950495E-01 8.959929E-03
5.148515E-01 9.127232E-03
5.346535E-01 9.299701E-03
5.544554E-01 9.477334E-03
5.742574E-01 9.660132E-03
5.940594E-01 9.848095E-03
6.138614E-01 1.004122E-02
6.336634E-01 1.023951E-02
6.534653E-01 1.044297E-02
6.732673E-01 1.065159E-02
6.930693E-01 1.086538E-02
7.128713E-01 1.108433E-02
7.326733E-01 1.130844E-02
7.524752E-01 1.153772E-02
7.722772E-01 1.177217E-02
7.920792E-01 1.201178E-02
8.118812E-01 1.225655E-02
8.316832E-01 1.250649E-02
8.514851E-01 1.276159E-02
8.712871E-01 1.302186E-02
8.910891E-01 1.328729E-02
9.108911E-01 1.355789E-02
9.306931E-01 1.383365E-02
9.504950E-01 1.411457E-02
9.702970E-01 1.440066E-02
9.900990E-01 1.469192E-02
