 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.584471E-02
-9.702970E-01 1.553469E-02
-9.504950E-01 1.523845E-02
-9.306931E-01 1.495596E-02
-9.108911E-01 1.468724E-02
-8.910891E-01 1.443228E-02
-8.712871E-01 1.419109E-02
-8.514851E-01 1.396365E-02
-8.316832E-01 1.374999E-02
-8.118812E-01 1.355008E-02
-7.920792E-01 1.336394E-02
-7.722772E-01 1.319156E-02
-7.524752E-01 1.303294E-02
-7.326733E-01 1.288808E-02
-7.128713E-01 1.275699E-02
-6.930693E-01 1.263966E-02
-6.732673E-01 1.253610E-02
-6.534653E-01 1.244630E-02
-6.336634E-01 1.237026E-02
-6.138614E-01 1.230798E-02
-5.940594E-01 1.225947E-02
-5.742574E-01 1.222472E-02
-5.544554E-01 1.220373E-02
-5.346535E-01 1.219650E-02
-5.148515E-01 1.220304E-02
-4.950495E-01 1.222335E-02
-4.752475E-01 1.225741E-02
-4.554455E-01 1.230524E-02
-4.356436E-01 1.236683E-02
-4.158416E-01 1.244218E-02
-3.960396E-01 1.253130E-02
-3.762376E-01 1.263418E-02
-3.564356E-01 1.275082E-02
-3.366337E-01 1.288123E-02
-3.168317E-01 1.302540E-02
-2.970297E-01 1.318333E-02
-2.772277E-01 1.335502E-02
-2.574257E-01 1.354048E-02
-2.376238E-01 1.373970E-02
-2.178218E-01 1.395269E-02
-1.980198E-01 1.417943E-02
-1.782178E-01 1.441994E-02
-1.584158E-01 1.467421E-02
-1.386139E-01 1.494225E-02
-1.188119E-01 1.522405E-02
-9.900990E-02 1.551961E-02
-7.920792E-02 1.582894E-02
-5.940594E-02 1.615202E-02
-3.960396E-02 1.648888E-02
-1.980198E-02 1.683949E-02
-8.673617E-18 1.720387E-02
1.980198E-02 1.758201E-02
3.960396E-02 1.797391E-02
5.940594E-02 1.837958E-02
7.920792E-02 1.879900E-02
9.900990E-02 1.923220E-02
1.188119E-01 1.967915E-02
1.386139E-01 2.013987E-02
1.584158E-01 2.061435E-02
1.782178E-01 2.110259E-02
1.980198E-01 2.160460E-02
2.178218E-01 2.212037E-02
2.376238E-01 2.264990E-02
2.574257E-01 2.319320E-02
2.772277E-01 2.375026E-02
2.970297E-01 2.432108E-02
3.168317E-01 2.490567E-02
3.366337E-01 2.550402E-02
3.564356E-01 2.611613E-02
3.762376E-01 2.674200E-02
3.960396E-01 2.738164E-02
4.158416E-01 2.803504E-02
4.356436E-01 2.870220E-02
4.554455E-01 2.938313E-02
4.752475E-01 3.007782E-02
4.950495E-01 3.078627E-02
5.148515E-01 3.150848E-02
5.346535E-01 3.224446E-02
5.544554E-01 3.299420E-02
5.742574E-01 3.375771E-02
5.940594E-01 3.453498E-02
6.138614E-01 3.532601E-02
6.336634E-01 3.613080E-02
6.534653E-01 3.694936E-02
6.732673E-01 3.778167E-02
6.930693E-01 3.862776E-02
7.128713E-01 3.948760E-02
7.326733E-01 4.036121E-02
7.524752E-01 4.124858E-02
7.722772E-01 4.214972E-02
7.920792E-01 4.306461E-02
8.118812E-01 4.399327E-02
8.316832E-01 4.493570E-02
8.514851E-01 4.589188E-02
8.712871E-01 4.686183E-02
8.910891E-01 4.784555E-02
9.108911E-01 4.884302E-02
9.306931E-01 4.985426E-02
9.504950E-01 5.087926E-02
9.702970E-01 5.191803E-02
9.900990E-01 5.297055E-02
