 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 3.067714E-04
-9.702970E-01 3.008037E-04
-9.504950E-01 2.951714E-04
-9.306931E-01 2.898745E-04
-9.108911E-01 2.849130E-04
-8.910891E-01 2.802870E-04
-8.712871E-01 2.759964E-04
-8.514851E-01 2.720412E-04
-8.316832E-01 2.684214E-04
-8.118812E-01 2.651371E-04
-7.920792E-01 2.621881E-04
-7.722772E-01 2.595746E-04
-7.524752E-01 2.572965E-04
-7.326733E-01 2.553538E-04
-7.128713E-01 2.537466E-04
-6.930693E-01 2.524747E-04
-6.732673E-01 2.515383E-04
-6.534653E-01 2.509373E-04
-6.336634E-01 2.506717E-04
-6.138614E-01 2.507415E-04
-5.940594E-01 2.511468E-04
-5.742574E-01 2.518875E-04
-5.544554E-01 2.529636E-04
-5.346535E-01 2.543751E-04
-5.148515E-01 2.561220E-04
-4.950495E-01 2.582044E-04
-4.752475E-01 2.606222E-04
-4.554455E-01 2.633754E-04
-4.356436E-01 2.664640E-04
-4.158416E-01 2.698880E-04
-3.960396E-01 2.736475E-04
-3.762376E-01 2.777423E-04
-3.564356E-01 2.821726E-04
-3.366337E-01 2.869383E-04
-3.168317E-01 2.920395E-04
-2.970297E-01 2.974760E-04
-2.772277E-01 3.032480E-04
-2.574257E-01 3.093554E-04
-2.376238E-01 3.157982E-04
-2.178218E-01 3.225764E-04
-1.980198E-01 3.296901E-04
-1.782178E-01 3.371391E-04
-1.584158E-01 3.449236E-04
-1.386139E-01 3.530435E-04
-1.188119E-01 3.614989E-04
-9.900990E-02 3.702896E-04
-7.920792E-02 3.794158E-04
-5.940594E-02 3.888774E-04
-3.960396E-02 3.986744E-04
-1.980198E-02 4.088068E-04
-8.673617E-18 4.192746E-04
1.980198E-02 4.300779E-04
3.960396E-02 4.412166E-04
5.940594E-02 4.526907E-04
7.920792E-02 4.645002E-04
9.900990E-02 4.766452E-04
1.188119E-01 4.891255E-04
1.386139E-01 5.019413E-04
1.584158E-01 5.150925E-04
1.782178E-01 5.285791E-04
1.980198E-01 5.424012E-04
2.178218E-01 5.565586E-04
2.376238E-01 5.710515E-04
2.574257E-01 5.858798E-04
2.772277E-01 6.010435E-04
2.970297E-01 6.165427E-04
3.168317E-01 6.323772E-04
3.366337E-01 6.485472E-04
3.564356E-01 6.650526E-04
3.762376E-01 6.818934E-04
3.960396E-01 6.990697E-04
4.158416E-01 7.165813E-04
4.356436E-01 7.344284E-04
4.554455E-01 7.526109E-04
4.752475E-01 7.711288E-04
4.950495E-01 7.899822E-04
5.148515E-01 8.091709E-04
5.346535E-01 8.286951E-04
5.544554E-01 8.485547E-04
5.742574E-01 8.687497E-04
5.940594E-01 8.892801E-04
6.138614E-01 9.101460E-04
6.336634E-01 9.313473E-04
6.534653E-01 9.528839E-04
6.732673E-01 9.747561E-04
6.930693E-01 9.969636E-04
7.128713E-01 1.019507E-03
7.326733E-01 1.042385E-03
7.524752E-01 1.065599E-03
7.722772E-01 1.089148E-03
7.920792E-01 1.113033E-03
8.118812E-01 1.137253E-03
8.316832E-01 1.161808E-03
8.514851E-01 1.186699E-03
8.712871E-01 1.211925E-03
8.910891E-01 1.237487E-03
9.108911E-01 1.263384E-03
9.306931E-01 1.289617E-03
9.504950E-01 1.316185E-03
9.702970E-01 1.343088E-03
9.900990E-01 1.370327E-03
