 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 1.355438E+00
-9.702970E-01 1.329503E+00
-9.504950E-01 1.305616E+00
-9.306931E-01 1.283775E+00
-9.108911E-01 1.263982E+00
-8.910891E-01 1.246236E+00
-8.712871E-01 1.230536E+00
-8.514851E-01 1.216884E+00
-8.316832E-01 1.205279E+00
-8.118812E-01 1.195721E+00
-7.920792E-01 1.188210E+00
-7.722772E-01 1.182746E+00
-7.524752E-01 1.179330E+00
-7.326733E-01 1.177960E+00
-7.128713E-01 1.178637E+00
-6.930693E-01 1.181362E+00
-6.732673E-01 1.186133E+00
-6.534653E-01 1.192952E+00
-6.336634E-01 1.201817E+00
-6.138614E-01 1.212730E+00
-5.940594E-01 1.225690E+00
-5.742574E-01 1.240696E+00
-5.544554E-01 1.257750E+00
-5.346535E-01 1.276851E+00
-5.148515E-01 1.297999E+00
-4.950495E-01 1.321194E+00
-4.752475E-01 1.346437E+00
-4.554455E-01 1.373726E+00
-4.356436E-01 1.403062E+00
-4.158416E-01 1.434446E+00
-3.960396E-01 1.467876E+00
-3.762376E-01 1.503354E+00
-3.564356E-01 1.540878E+00
-3.366337E-01 1.580450E+00
-3.168317E-01 1.622069E+00
-2.970297E-01 1.665734E+00
-2.772277E-01 1.711447E+00
-2.574257E-01 1.759207E+00
-2.376238E-01 1.809014E+00
-2.178218E-01 1.860868E+00
-1.980198E-01 1.914769E+00
-1.782178E-01 1.970718E+00
-1.584158E-01 2.028713E+00
-1.386139E-01 2.088755E+00
-1.188119E-01 2.150845E+00
-9.900990E-02 2.214981E+00
-7.920792E-02 2.281165E+00
-5.940594E-02 2.349395E+00
-3.960396E-02 2.419673E+00
-1.980198E-02 2.491998E+00
-8.673617E-18 2.566370E+00
1.980198E-02 2.642789E+00
3.960396E-02 2.721255E+00
5.940594E-02 2.801768E+00
7.920792E-02 2.884328E+00
9.900990E-02 2.968935E+00
1.188119E-01 3.055589E+00
1.386139E-01 3.144291E+00
1.584158E-01 3.235039E+00
1.782178E-01 3.327834E+00
1.980198E-01 3.422677E+00
2.178218E-01 3.519567E+00
2.376238E-01 3.618503E+00
2.574257E-01 3.719487E+00
2.772277E-01 3.822518E+00
2.970297E-01 3.927596E+00
3.168317E-01 4.034721E+00
3.366337E-01 4.143893E+00
3.564356E-01 4.255112E+00
3.762376E-01 4.368378E+00
3.960396E-01 4.483691E+00
4.158416E-01 4.601052E+00
4.356436E-01 4.720459E+00
4.554455E-01 4.841913E+00
4.752475E-01 4.965415E+00
4.950495E-01 5.090964E+00
5.148515E-01 5.218559E+00
5.346535E-01 5.348202E+00
5.544554E-01 5.479892E+00
5.742574E-01 5.613629E+00
5.940594E-01 5.749412E+00
6.138614E-01 5.887244E+00
6.336634E-01 6.027122E+00
6.534653E-01 6.169047E+00
6.732673E-01 6.313019E+00
6.930693E-01 6.459038E+00
7.128713E-01 6.607105E+00
7.326733E-01 6.757218E+00
7.524752E-01 6.909378E+00
7.722772E-01 7.063586E+00
7.920792E-01 7.219841E+00
8.118812E-01 7.378142E+00
8.316832E-01 7.538491E+00
8.514851E-01 7.700887E+00
8.712871E-01 7.865330E+00
8.910891E-01 8.031820E+00
9.108911E-01 8.200357E+00
9.306931E-01 8.370941E+00
9.504950E-01 8.543572E+00
9.702970E-01 8.718250E+00
9.900990E-01 8.894976E+00
