 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 150.000000 N_points= 100
Cross Section [pb]
1.000000E+01 2.143323E+02
1.141414E+01 1.917630E+02
1.282828E+01 1.616211E+02
1.424242E+01 1.352910E+02
1.565657E+01 1.139333E+02
1.707071E+01 9.685888E+01
1.848485E+01 8.317252E+01
1.989899E+01 7.211055E+01
2.131313E+01 6.308022E+01
2.272727E+01 5.563376E+01
2.414141E+01 4.943435E+01
2.555556E+01 4.422751E+01
2.696970E+01 3.981933E+01
2.838384E+01 3.606067E+01
2.979798E+01 3.283564E+01
3.121212E+01 3.005340E+01
3.262626E+01 2.764204E+01
3.404040E+01 2.554421E+01
3.545455E+01 2.371388E+01
3.686869E+01 2.211384E+01
3.828283E+01 2.071392E+01
3.969697E+01 1.948958E+01
4.111111E+01 1.842087E+01
4.252525E+01 1.749162E+01
4.393939E+01 1.668884E+01
4.535354E+01 1.600224E+01
4.676768E+01 1.542392E+01
4.818182E+01 1.494811E+01
4.959596E+01 1.457102E+01
5.101010E+01 1.429080E+01
5.242424E+01 1.410749E+01
5.383838E+01 1.402317E+01
5.525253E+01 1.404211E+01
5.666667E+01 1.417107E+01
5.808081E+01 1.441972E+01
5.949495E+01 1.480128E+01
6.090909E+01 1.533331E+01
6.232323E+01 1.603894E+01
6.373737E+01 1.694851E+01
6.515152E+01 1.810186E+01
6.656566E+01 1.955165E+01
6.797980E+01 2.136815E+01
6.939394E+01 2.364632E+01
7.080808E+01 2.651644E+01
7.222222E+01 3.016061E+01
7.363636E+01 3.483902E+01
7.505051E+01 4.093302E+01
7.646465E+01 4.901889E+01
7.787879E+01 5.999937E+01
7.929293E+01 7.535175E+01
8.070707E+01 9.762607E+01
8.212121E+01 1.315294E+02
8.353535E+01 1.865377E+02
8.494949E+01 2.840893E+02
8.636364E+01 4.814905E+02
8.777778E+01 9.776206E+02
8.919192E+01 2.892990E+03
9.060606E+01 3.325585E+04
9.202020E+01 1.690527E+04
9.343434E+01 2.410314E+03
9.484848E+01 9.269796E+02
9.626263E+01 4.920426E+02
9.767677E+01 3.069841E+02
9.909091E+01 2.111146E+02
1.005051E+02 1.549549E+02
1.019192E+02 1.191619E+02
1.033333E+02 9.490016E+01
1.047475E+02 7.766319E+01
1.061616E+02 6.495445E+01
1.075758E+02 5.529887E+01
1.089899E+02 4.777878E+01
1.104040E+02 4.179857E+01
1.118182E+02 3.695771E+01
1.132323E+02 3.297865E+01
1.146465E+02 2.966404E+01
1.160606E+02 2.687034E+01
1.174747E+02 2.449109E+01
1.188889E+02 2.244593E+01
1.203030E+02 2.067328E+01
1.217172E+02 1.912525E+01
1.231313E+02 1.776418E+01
1.245455E+02 1.656060E+01
1.259596E+02 1.548896E+01
1.273737E+02 1.453034E+01
1.287879E+02 1.366918E+01
1.302020E+02 1.289189E+01
1.316162E+02 1.218741E+01
1.330303E+02 1.154650E+01
1.344444E+02 1.096135E+01
1.358586E+02 1.042535E+01
1.372727E+02 9.932856E+00
1.386869E+02 9.479035E+00
1.401010E+02 9.059716E+00
1.415152E+02 8.671291E+00
1.429293E+02 8.310623E+00
1.443434E+02 7.974973E+00
1.457576E+02 7.661940E+00
1.471717E+02 7.369412E+00
1.485859E+02 7.095526E+00
1.500000E+02 6.838631E+00
