 m,M ->b,B
x-axis: "Sqrt(S)"  from 92.000000 to 150.000000 N_points= 100
Cross Section [pb]
9.200000E+01 1.773236E+04
9.258586E+01 6.124505E+03
9.317172E+01 3.077262E+03
9.375758E+01 1.851400E+03
9.434343E+01 1.238451E+03
9.492929E+01 8.883893E+02
9.551515E+01 6.696401E+02
9.610101E+01 5.237566E+02
9.668687E+01 4.215526E+02
9.727273E+01 3.471289E+02
9.785859E+01 2.912214E+02
9.844444E+01 2.481340E+02
9.903030E+01 2.142070E+02
9.961616E+01 1.870017E+02
1.002020E+02 1.648415E+02
1.007879E+02 1.465432E+02
1.013737E+02 1.312517E+02
1.019596E+02 1.183371E+02
1.025455E+02 1.073264E+02
1.031313E+02 9.785927E+01
1.037172E+02 8.965694E+01
1.043030E+02 8.250112E+01
1.048889E+02 7.621883E+01
1.054747E+02 7.067159E+01
1.060606E+02 6.574742E+01
1.066465E+02 6.135498E+01
1.072323E+02 5.741917E+01
1.078182E+02 5.387776E+01
1.084040E+02 5.067883E+01
1.089899E+02 4.777878E+01
1.095758E+02 4.514080E+01
1.101616E+02 4.273359E+01
1.107475E+02 4.053042E+01
1.113333E+02 3.850836E+01
1.119192E+02 3.664763E+01
1.125051E+02 3.493111E+01
1.130909E+02 3.334389E+01
1.136768E+02 3.187298E+01
1.142626E+02 3.050698E+01
1.148485E+02 2.923587E+01
1.154343E+02 2.805081E+01
1.160202E+02 2.694397E+01
1.166061E+02 2.590841E+01
1.171919E+02 2.493795E+01
1.177778E+02 2.402706E+01
1.183636E+02 2.317080E+01
1.189495E+02 2.236475E+01
1.195354E+02 2.160492E+01
1.201212E+02 2.088771E+01
1.207071E+02 2.020988E+01
1.212929E+02 1.956848E+01
1.218788E+02 1.896086E+01
1.224646E+02 1.838459E+01
1.230505E+02 1.783747E+01
1.236364E+02 1.731751E+01
1.242222E+02 1.682297E+01
1.248081E+02 1.635350E+01
1.253939E+02 1.590841E+01
1.259798E+02 1.547450E+01
1.265657E+02 1.506514E+01
1.271515E+02 1.467413E+01
1.277374E+02 1.430019E+01
1.283232E+02 1.394228E+01
1.289091E+02 1.359944E+01
1.294949E+02 1.327079E+01
1.300808E+02 1.295552E+01
1.306667E+02 1.265287E+01
1.312525E+02 1.236215E+01
1.318384E+02 1.208270E+01
1.324242E+02 1.181392E+01
1.330101E+02 1.155524E+01
1.335960E+02 1.130614E+01
1.341818E+02 1.106612E+01
1.347677E+02 1.083472E+01
1.353535E+02 1.061151E+01
1.359394E+02 1.039608E+01
1.365253E+02 1.018806E+01
1.371111E+02 9.987099E+00
1.376970E+02 9.792851E+00
1.382828E+02 9.605006E+00
1.388687E+02 9.423271E+00
1.394545E+02 9.247365E+00
1.400404E+02 9.077029E+00
1.406263E+02 8.912014E+00
1.412121E+02 8.752088E+00
1.417980E+02 8.597030E+00
1.423838E+02 8.446632E+00
1.429697E+02 8.300698E+00
1.435556E+02 8.159041E+00
1.441414E+02 8.021485E+00
1.447273E+02 7.887863E+00
1.453131E+02 7.758017E+00
1.458990E+02 7.631797E+00
1.464848E+02 7.509059E+00
1.470707E+02 7.389668E+00
1.476566E+02 7.273496E+00
1.482424E+02 7.160420E+00
1.488283E+02 7.050323E+00
1.494141E+02 6.943095E+00
1.500000E+02 6.838631E+00
