 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 7000.000000 N_points= 100
Cross Section [pb]
1.000000E+01 2.143324E+02
8.060606E+01 9.434289E+01
1.512121E+02 6.623423E+00
2.218182E+02 2.065829E+00
2.924242E+02 1.060522E+00
3.630303E+02 6.540584E-01
4.336364E+02 4.455920E-01
5.042424E+02 3.234993E-01
5.748485E+02 2.455417E-01
6.454545E+02 1.926162E-01
7.160606E+02 1.549910E-01
7.866667E+02 1.272623E-01
8.572727E+02 1.062264E-01
9.278788E+02 8.988222E-02
9.984848E+02 7.692660E-02
1.069091E+03 6.648030E-02
1.139697E+03 5.793243E-02
1.210303E+03 5.084759E-02
1.280909E+03 4.490862E-02
1.351515E+03 3.987996E-02
1.422121E+03 3.558369E-02
1.492727E+03 3.188333E-02
1.563333E+03 2.867283E-02
1.633939E+03 2.586871E-02
1.704545E+03 2.340458E-02
1.775152E+03 2.122707E-02
1.845758E+03 1.929290E-02
1.916364E+03 1.756670E-02
1.986970E+03 1.601930E-02
2.057576E+03 1.462652E-02
2.128182E+03 1.336817E-02
2.198788E+03 1.222729E-02
2.269394E+03 1.118960E-02
2.340000E+03 1.024297E-02
2.410606E+03 9.377121E-03
2.481212E+03 8.583283E-03
2.551818E+03 7.853980E-03
2.622424E+03 7.182846E-03
2.693030E+03 6.564474E-03
2.763636E+03 5.994302E-03
2.834242E+03 5.468527E-03
2.904848E+03 4.984044E-03
2.975455E+03 4.538408E-03
3.046061E+03 4.129818E-03
3.116667E+03 3.757125E-03
3.187273E+03 3.419870E-03
3.257879E+03 3.118353E-03
3.328485E+03 2.853742E-03
3.399091E+03 2.628237E-03
3.469697E+03 2.445303E-03
3.540303E+03 2.310007E-03
3.610909E+03 2.229488E-03
3.681515E+03 2.213638E-03
3.752121E+03 2.276077E-03
3.822727E+03 2.435582E-03
3.893333E+03 2.718216E-03
3.963939E+03 3.160560E-03
4.034545E+03 3.814736E-03
4.105152E+03 4.756441E-03
4.175758E+03 6.098185E-03
4.246364E+03 8.011938E-03
4.316970E+03 1.076953E-02
4.387576E+03 1.481849E-02
4.458182E+03 2.093341E-02
4.528788E+03 3.054139E-02
4.599394E+03 4.649201E-02
4.670000E+03 7.511917E-02
4.740606E+03 1.327929E-01
4.811212E+03 2.727519E-01
4.881818E+03 7.542867E-01
4.952424E+03 5.022624E+00
5.023030E+03 2.300811E+01
5.093636E+03 1.496328E+00
5.164242E+03 5.197812E-01
5.234848E+03 2.708394E-01
5.305455E+03 1.700672E-01
5.376061E+03 1.188601E-01
5.446667E+03 8.902413E-02
5.517273E+03 6.997014E-02
5.587879E+03 5.697334E-02
5.658485E+03 4.765729E-02
5.729091E+03 4.071602E-02
5.799697E+03 3.538113E-02
5.870303E+03 3.117524E-02
5.940909E+03 2.778835E-02
6.011515E+03 2.501159E-02
6.082121E+03 2.269978E-02
6.152727E+03 2.074926E-02
6.223333E+03 1.908433E-02
6.293939E+03 1.764855E-02
6.364545E+03 1.639907E-02
6.435152E+03 1.530288E-02
6.505758E+03 1.433415E-02
6.576364E+03 1.347243E-02
6.646970E+03 1.270133E-02
6.717576E+03 1.200759E-02
6.788182E+03 1.138036E-02
6.858788E+03 1.081069E-02
6.929394E+03 1.029116E-02
7.000000E+03 9.815534E-03
